,评论,断句,方面词,情感词
2193,品质也很不错,0,品质,不错
2194,你们家这款T恤质量很好且面很软手感不错,1,T恤质量,好
2195,衣服手感很柔软,1,衣服手感,柔软
2196,也不容易皱,1,布料,不容易皱
2197,穿着更舒服,1,面料,舒服
2198,衣服衣料柔软,1,衣服,柔软
2199,尺码不符,1,尺码,不符
2200,穿着应该凉快,0,布料,凉快
2201,这个价格很不错了,0,价格,不错
2202,整体评价：款式图案很漂亮,0,款式图案,漂亮
2203,材质也很好,0,材质,好
2204,整体评价：其他的还好,1,整体,好
2205,总体来说物美价廉好评,0,衣服,物美价廉
2206,衣服质量比想象中的好,0,衣服质量,好
2207,料子摸着很舒服,1,料子,舒服
2208,整体评价：衣服太棒了,0,衣服,太棒
2209,面料很舒适,1,面料,舒适
2210,衣服也没有异味,0,衣服,没有异味
2211,衣服挺不错,0,衣服,不错
2212,选择适合的码数后既修身但不会紧身,0,码数,合适
2213,整体评价：衣服质量很好,1,衣服质量,好
2214,这款衣服很好,0,衣服,好
2215,衣服还挺可以,0,衣服,可以
2216,穿上感觉很舒服,1,感觉,舒服
2217,价钱又便宜,1,价钱,便宜
2218,线条太多没剪,1,线条,没剪
2219,东西到了  穿着很舒适,1,东西,舒适
2220,手感也不错,1,手感,不错
2221,衣服不错很满意,0,衣服,不错
2222,衣服很漂亮质量好,0,衣服,漂亮
2223,厚薄刚好不热,0,厚薄,刚好
2224,做工很精细,0,做工,精细
2225,外观很有型,0,外观,有型
2226,质量太差了看上去相当不错,0,质量,太差
2227,衣服上身效果特别好,0,衣服上身效果,好
2228,整体评价：价格便宜,0,价格,便宜
2229,值得购买上身效果：刚刚合适 尺码推荐：L和XL,1,上身效果,合适
2230,手感挺不错的,1,手感,不错
2231,衣服不错是棉的,0,衣服,不错
2232,大小也合适这次购物满意,1,大小,合适
2233,价格超级优惠啊,1,价格,优惠
2234,图案还是不错的,1,图案,不错
2235,整体评价：很好，上身效果：不错 尺码推荐：可以 厚薄度：正好 ,1,厚薄度,正好
2236,质量好的也没话说,1,质量,好
2237,但是很凉快,1,布料,凉快
2238,上身效果好看,0,上身效果,好看
2239,面料品质：柔软、舒适,0,面料,柔软舒适
2240,这价格也非常实惠、推荐给朋友,1,价格,实惠
2241,孩子说穿着凉快,0,布料,凉快
2242,可以尺寸刚刚好,1,尺寸,刚刚好
2243,非常棒质量非常好,0,质量,好
2244,收到后这个质量真的不错,0,质量,不错
2245,大小不合适,1,大小,不合适
2246,宽松点的不知道选什么码,1,布料,宽松
2247,材质特性：衣服穿起来特别舒服透气,0,材质,舒服透气
2248,尺码也很合适,0,尺码,合适
2249,感觉质量不怎么样,0,质量,不怎么样
2250,十块一件的衣服而且质量还行,0,质量,还行
2251,这个价格的货有这个效果很好了,0,效果,很好
2252,尺码严重不符,0,尺码,不符
2253,白色显得清爽,1,白色,清爽
2254,样子还不错,1,样子,不错
2255,比较满意的就是白色狗头😃,0,白色,满意
2256,衣服中规中矩,0,衣服,中规中矩
2257,性价比还行,0,性价比,还行
2258,衣服图案很好看,0,衣服图案,好看
2259,穿起来很凉快舒服,1,布料,凉快
2260,整体评价：质量还不错,1,质量,不错
2261,这个价钱确实物有所值,1,价钱,物有所值
2262,质量也很棒,1,质量,很棒
2263, 整体评价：好,1,整体,好
2264,衣服也很有弹性,1,衣服,弹性
2265,尺码也是OK的,0,尺码,OK
2266,穿着也很合身,0,尺码,合身
2267,面料很舒服5星好评,0,面料,舒服
2268,穿起来比较凉快舒适,0,布料,凉快
2269,图案鲜艳分明别出心裁的设计让人的气质提升了一个档质,0,图案,鲜艳
2270,物流速度不错,0,物流速度,不错
2271,衣服材质也手感好,1,手感,好
2272,衣服面料很好,1,衣服面料,好
2273,而且面料柔软,1,面料,柔软
2274,也挺凉快的,1,布料,凉快
2275,尺码也很合身,1,尺码,合身
2276,衣服穿起还可以,1,衣服,可以
2277,颜色无色差,1,颜色,无色差
2278,穿起来还蛮舒服,0,面料,舒服
2279,面料品质：这件衣服非常不错,0,面料品质,不错
2280,就是白的偏小一码,1,白的,偏小
2281,穿在身上很漂亮,1,设计,漂亮
2282,我要白色质量也不好,1,白色质量,不好
2283,质量不错质量非常好,0,质量,不错
2284,衣服质感很好,1,衣服质感,好
2285,虽然是便宜,0,价格,便宜
2286,但衣服的尺码大小不一黑色尺码刚刚好,1,黑色尺码,刚刚好
2287,弹性特别好,0,弹性,好
2288,衣服样式挺好的,0,衣服样式,好
2289,印花也好看,0,印花,好看
2290,穿着也不错,0,衣服,不错
2291,总体来说还是不错的,0,总体,不错
2292,体恤的质量非常不错,1,体恤的质量,不错
2293,非常的实惠,1,实惠,便宜
2294,4件衣服都还不错,1,衣服,不错
2295,面料还不错,1,面料,不错
2296,穿起来很舒服感觉还不错,0,感觉,舒服
2297,穿着还不错,0,衣服,不错
2298,整体感觉还不错,0,整体,不错
2299,穿在身上非常舒服,0,面料,舒服
2300,最主要的是很便宜啊😁,0,价格,便宜
2301,衣服质量很不错哦,0,衣服质量,不错
2302,大小穿身上正合适,0,大小,正合适
2303,衣服刚好合身,0,衣服,合身
2304,这个价格买到这个料子还是可以的,0,料子,可以
2305,感觉很舒服,0,感觉,舒服
2306,整体评价：衣服材质特性：感柔软,1,衣服材质,柔软
2307,纯棉的 上身效果：效果蛮不错的尺码推荐：尺寸蛮合适,1,尺寸,合适
2308, 厚薄度：厚度适中 面料品质纯棉的,0,厚薄度,厚度适中
2309,衣服挺好的.挺划算,0,衣服,好
2310,质量也挺好,0,质量,好
2311,质量也很好了,1,质量,好
2312,身上穿着也挺舒服衣服应该的,1,衣服,舒服
2313,款型非常新颖,1,款型,新颖
2314,不错给个好评,1,衣服,不错
2315,感觉质量还挺不错的,1,感觉,不错
2316,物品也不错,1,物品,不错
2317,整体评价：不错不错,1,整体,不错
2318,整体评价：穿身上很合适,1,整体,合适
2319,衣服软绵绵的手感也好,0,手感,好
2320,衣服面料还可以,0,衣服面料,可以
2321,推荐购买质量不错,0,质量,不错
2322,挺好的衣服,0,衣服,好
2323,穿上很合身,0,尺码,合身
2324,质量挺不错的  就是买小了一码,0,质量,不错
2325,手感不错的,0,手感,不错
2326,衣服材质还不错,0,衣服材质,不错
2327,摸上去比较舒服,0,面料,舒服
2328,很满意吧 这个价位,0,价位,满意
2329,t恤衫蛮不错的,1,t恤衫,不错
2330,整体评价：衣服收到挺好的,1,衣服,好
2331, 材质特性：摸着还可以,1,材质,可以
2332, 上身效果：穿着蛮舒服,1,上身,舒服
2333, 尺码推荐：买推荐的尺码就可以,1,尺码,合适
2334,品质太差了,1,品质,太差
2335,匪夷所思的价格,1,价格,匪夷所思
2336,穿起来舒服凉快,0,面料,舒服凉快
2337,没想到衣服质量这么好,0,衣服质量,好
2338,上身效果：非常好,0,效果,好
2339,很棒 尺码推荐：刚好合适,0,尺码,合适
2340,衣服还不错夜色还有挺柔软的,0,衣服,柔软
2341,衣服质量相当可以,1,衣服质量,可以
2342,服务态度也不错,1,服务态度,不错
2343,拿回来看着还不错,1,衣服,不错
2344,料子特别舒服,0,料子,舒服
2345,质量好到没话说,0,质量,没话说
2346,宝贝质量很好,0,宝贝质量,好
2347,面料很光滑,1,面料,光滑
2348,弹性也非常不错,1,弹性,不错
2349,很有弹性啊,0,面料,有弹性
2350,这个衣服面料又薄又软,1,衣服面料,又薄又软
2351,穿上身上就是半透明的,1,面料,半透明
2352,这体恤穿起来不错,0,体恤,不错
2353,印花团很有个性,1,印花,有个性
2354,材料也很好,1,材料,好
2355,手感很舒适,0,手感,舒适
2356,这次买的衣服很不错,0,衣服,不错
2357,物流速度还是不错的,0,物流速度,不错
2358,衣服面料穿着舒服,1,衣服面料,舒服
2359,价格实惠很酷,0,价格,实惠
2360,布料也挺舒服摸着,0,布料,舒服
2361,面料弹性很好,0,面料弹性,好
2362,穿上去很凉快,0,布料,凉快
2363,而且设计的图案也很漂亮,0,设计的图案,漂亮
2364,儿子特别喜欢白色的衣服,0,白色,喜欢
2365,上身效果：挺好看的,1,上身效果,好看
2366, 面料品质：感觉还不错,1,面料,不错
2367,图案也很洋气,0,图案,洋气
2368,面料很好 穿起来也很舒服  值得购买,1,面料,好
2369,款式也蛮好,0,款式,好
2370,衣服到了质量很好,0,质量,好
2371,穿上舒服T恤衫收到,0,T恤衫,舒服
2372,大小合适给个好评,0,大小,合适
2373,颜色也挺好的,0,颜色,挺好
2374,衣服产品质量没得话说,0,衣服产品质量,没得话说
2375,衣服做工走线平整,0,衣服做工走线,平整
2376,很喜欢上面的图案,0,图案,喜欢
2377,非常不错的衣服,0,衣服,不错
2378,衣服是棉穿起来刚好合适,1,衣服,合适
2379,衣服上身效果良好,1,衣服上身效果,良好
2380,值得购买价格也不贵物美价廉nice,1,价格,不贵
2381,非常好的质量,1,质量,好
2382,这个价位还是很良心的,1,价位,良心
2383,号码太小了,1,号码,太小
2384,质量也是柔软不刺激皮肤的衣服,1,质量,柔软
2385,  衣服质量特别好,0,衣服质量,好
2386,感觉还不错质量也非常的好,0,质量,不错
2387,面料很柔软穿着舒服,1,面料,柔软
2388,图案清晰 质感软软的 上班穿合适,1,图案,清晰
2389,这个价格太划算了,1,价格,划算
2390,材质真的不好,1,材质,不错
2391,衣服也挺合适,0,衣服,合适
2392,图案都挺好看,0,图案,好看
2393,刚下单第二天就回来了 而且包装很好 好评,0,包装,好
2394,面料品质：布料透气,0,布料,透气
2395,不过价格蛮实惠的～,0,价格,实惠
2396,颜色也挺喜欢,0,颜色,喜欢
2397,质量没问题,0,质量,没问题
2398,关键价格也合适,0,价格,合适
2399,质量都可以,0,质量,可以
2400,还有弹性透风,0,面料,弹性透风
2401,性价比杠杠的,0,性价比,杠杠的
2402,质量也蛮好的,0,质量,蛮好
2403,选择搭配灵活,0,搭配,灵活
2404,手感棉棉的还有点光滑,0,手感,光滑
2405,这个价位太值得了,0,价位,值得
2406, 价格也很实惠,0,价格,实惠
2407,面料很舒服宽松,0,面料,舒服
2408,手感细腻清爽,0,手感,细腻清爽
2409,这个质量太差了吧,0,质量,太差
2410,很舒服衣服质量很好,0,衣服质量,好
2411,在这个价格来说到手了衣服穿起来非常舒适,0,衣服,舒适
2412,首先手感不错 就是物流太慢 其次太粘毛毛了吧衣服收到了,1,手感,不错
2413,衣服面料很好 物流也是很快 总的来说值得购买衣服已收到,1,衣服面料,好
2414,摸起来手感不错,0,手感,不错
2415,纯棉的质量可以,0,纯棉,可以
2416,T恤尺码合适,0,尺码,合适
2417,现在洗了之后缩水有点小了,1,衣服,缩水
2418,尺码偏离太大拉,0,尺码,偏离太大
2419,非常的物美廉价廉,0,衣服,物美廉价
2420,衣服还行吧,1,衣服,还行
2421,整体评价：挺好的,1,整体,好
2422,就是面前有点塑料的印刷会有点闷热,0,塑料,闷热
2423,款式比较好看,0,款式,好看
2424,上面的图案确实有意思,1,图案,有意思
2425,摸着光溜溜的穿着应该凉快,0,布料,凉快
2426,质量蛮好的,1,质量,蛮好
2427,衣服做工好,1,衣服做工,好
2428,纯棉布料穿着舒服,1,纯棉,舒服
2429,码数也很合适,1,码数,合适
2430,棉质很不错,1,棉质,不错
2431,整体评价：挺不错的,1,整体,不错
2432,质量确实很好喜欢的放心购买,1,质量,很好
2433,面料凉爽不贴身,1,面料,凉爽不贴身
2434,尺码严重有问题,0,尺码,有问题
2435,款式很新潮,1,款式,新潮
2436,材质还可以,0,材质,可以
2437,衣服有点偏小了,1,衣服,偏小
2438,短袖质量挺好的,1,短袖质量,好
2439,物美价廉的一款T恤,0,T恤,物美价廉
2440,做工也比较满意,1,做工,满意
2441,毕竟是十来块钱衣服里面质量各方面算是遇到的比较好的一家,1,质量,好
2442,质量很好👍👍👍👍值得购买,1,质量,好
2443,拍的时候尽量拍大一码,1,时候,舒服
2444,质量比我想象中的要好很多了,0,质量,好
2445,材质特性：棉的 ,0,材质,棉的
2446,质量真心不错,1,质量,不错
2447,厚薄度：还可以,1,厚薄度,可以
2448,衣服缩水严重,1,衣服,缩水
2449,纯棉布料便宜,0,布料,便宜
2450,穿上舒服好货,0,面料,舒服
2451,T恤质量扛扛地,0,T恤质量,扛扛地
2452,料子非常好,0,料子,好
2453,这个价格太便宜了,0,价格,便宜
2454,穿起来很合适,1,尺码,合适
2455,这个价钱买这么好的衣服,1,价钱,好
2456,大小也是合适很好 值得购买,1,大小,合适
2457,性价比很高了,1,性价比,高
2458,衣服尺码正好,0,衣服尺码,正好
2459,布料也很不错,0,布料,不错
2460,黑色就是愿意粘毛,1,黑色,粘毛
2461,穿上身很舒服,1,面料,舒服
2462,版型也不错,1,版型,不错
2463,纯棉的透气舒服,1,纯棉,透气
2464,而且款式百搭,1,款式,百搭
2465,看包装感觉非常不错,1,包装,不错
2466,款式还可以,0,款式,可以
2467,衣服质量子一般般,1,衣服质量,一般般
2468,这衣服买来到现在才穿了三四天的洗了一次后竟然比以前要小哪么点会缩水,1,衣服,缩水
2469,但总体的来说穿着感还是不错的,1,总体,不错
2470,挺好的质量,1,质量,挺好
2471,质量一般吧,0,质量,一般
2472,就是物流太慢,0,物流,太慢
2473,价钱也便宜,0,价钱,便宜
2474,拿回来了一看差大了太不合适了哪能穿的下太瘦了还180-200斤能穿呢,1,尺码,太不合适
2475,衣服是穿的相当舒服,1,衣服,舒服
2476,价格相当的实惠,1,价格,实惠
2477,纯棉的对象说穿的可舒服,0,纯棉,舒服
2478,衣服质量不怎么样,0,衣服质量,不怎么样
2479,关键是东西好,1,东西,好
2480,黑的也不掉色,0,黑的,不掉色
2481,价格超级便宜,1,价格,便宜
2482,掌柜的服务态度真好,1,服务态度,好
2483,商品质量也相当不错,1,商品质量,不错
2484,质量不怎么好,0,质量,不怎么好
2485,衣服不会褪色,0,衣服,褪色
2486,衣服料子是纯棉的,0,衣服料子,纯棉
2487,图案也很清新,1,图案,清新
2488,而且价格还十分优惠,1,价格,优惠
2489,布料挺好的,1,布料,好
2490,质量凭良心说一般,1,质量,一般
2491,穿起来很小,1,号码,很小
2492,上身效果：挺好的,1,效果,好
2493,衣服不光尺码差很多,1,尺码,差很多
2494,不错纯棉的,0,纯棉,不错
2495,质量很好的T恤,0,质量,很好
2496,纯棉的穿起来很舒服,1,纯棉,舒服
2497,衣服很好穿,1,衣服,好
2498,应该是纯棉的大小合适,1,大小,合适
2499,穿着非常舒适,1,面料,舒适
2500,印花特别漂亮,1,印花,漂亮
2501,比心❤的图案可爱☺,1,图案,可爱
2502,纯棉的吸汗透气穿上舒服,0,纯棉,舒服
2503,摸着光滑薄,0,面料,光滑
2504,质量真的挺好,1,质量,好
2505,面料挺舒服,1,面料,舒服
2506,整体评价：烫印没有异味,1,异味,没有
